0.10,0.10,81.41,227.75,1985.00
0.10,0.30,17.79,47.37,427.00
0.10,0.50,11.23,25.23,250.00
0.10,0.70,8.91,18.60,165.00
0.10,0.90,12.36,27.68,331.00
0.30,0.10,11.85,29.47,296.00
0.30,0.30,5.23,7.30,70.00
0.30,0.50,4.80,5.83,64.00
0.30,0.70,4.39,4.95,54.00
0.30,0.90,4.71,5.39,48.00
0.50,0.10,6.74,12.75,148.00
0.50,0.30,4.08,4.84,51.00
0.50,0.50,3.40,2.63,23.00
0.50,0.70,3.75,3.07,23.00
0.50,0.90,3.97,3.25,31.00
0.70,0.10,5.10,7.56,73.00
0.70,0.30,3.74,3.30,29.00
0.70,0.50,3.36,2.38,30.00
0.70,0.70,3.27,2.07,20.00
0.70,0.90,3.51,2.22,20.00
0.90,0.10,4.49,5.34,65.00
0.90,0.30,3.20,2.04,15.00
0.90,0.50,3.29,1.87,16.00
0.90,0.70,3.27,1.88,15.00
0.90,0.90,3.54,2.14,18.00
